B, 35
A, 29
C, 7
E, 23
D, 3
G, 21
F, 29
H, 18
M, 1
L, 2
O, 7
N, 60
Q, 26
P, 15
S, 4
R, 38
U, 3
T, 2
W, 1
V, 22
Y, 20
Z, 5
?, 4

